Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.800366E+00 2.334230E+00 0.000000E+00 0.000000E+00 5.055200E-02 5.046432E-02 5.055200E-02 5.053728E-02 5.055200E-02 6.554112E-02 5.055200E-02 5.052480E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.418822E+00 1.950687E+00 0.000000E+00 0.000000E+00 4.511232E-02 4.503552E-02 4.511232E-02 4.509536E-02 4.511232E-02 6.202304E-02 4.511232E-02 4.509184E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.666717E+00 2.166485E+00 0.000000E+00 0.000000E+00 4.200320E-02 4.193184E-02 4.200320E-02 4.199360E-02 4.200352E-02 5.459776E-02 4.200352E-02 4.198560E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.760808E+00 2.363624E+00 0.000000E+00 0.000000E+00 4.146176E-02 4.139968E-02 4.146176E-02 4.145248E-02 4.146176E-02 5.565376E-02 4.146176E-02 4.144480E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.605769E+00 2.149040E+00 0.000000E+00 0.000000E+00 4.048288E-02 4.042944E-02 4.048352E-02 4.047168E-02 4.048320E-02 5.417856E-02 4.048352E-02 4.044928E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.804814E+00 2.237746E+00 0.000000E+00 0.000000E+00 4.155968E-02 4.149568E-02 4.155968E-02 4.154464E-02 4.155968E-02 5.152832E-02 4.155968E-02 4.154208E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.998049E+00 2.458855E+00 0.000000E+00 0.000000E+00 3.904160E-02 3.898176E-02 3.904224E-02 3.903328E-02 3.904256E-02 4.804416E-02 3.904256E-02 3.902560E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.809028E+00 2.284600E+00 0.000000E+00 0.000000E+00 4.202080E-02 4.196416E-02 4.202016E-02 4.201344E-02 4.202048E-02 5.306560E-02 4.202080E-02 4.200352E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.633012E+00 1.949683E+00 0.000000E+00 0.000000E+00 4.103232E-02 4.097760E-02 4.103232E-02 4.102272E-02 4.103232E-02 4.898624E-02 4.103232E-02 4.101888E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.887624E+00 2.390779E+00 0.000000E+00 0.000000E+00 3.973600E-02 3.968160E-02 3.973632E-02 3.972256E-02 3.973600E-02 5.032704E-02 3.973632E-02 3.972320E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.897663E+00 2.466718E+00 0.000000E+00 0.000000E+00 4.216128E-02 4.211520E-02 4.216128E-02 4.215392E-02 4.216128E-02 5.480320E-02 4.216128E-02 4.214720E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.670046E+00 2.308375E+00 0.000000E+00 0.000000E+00 4.072128E-02 4.066880E-02 4.072128E-02 4.071392E-02 4.072128E-02 5.628416E-02 4.072128E-02 4.070784E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.511604E+00 1.965029E+00 0.000000E+00 0.000000E+00 3.307872E-02 3.304352E-02 3.307872E-02 3.306912E-02 3.307840E-02 4.299968E-02 3.307872E-02 3.304832E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.597993E+00 1.963617E+00 0.000000E+00 0.000000E+00 5.194496E-02 5.187872E-02 5.194496E-02 5.193472E-02 5.194496E-02 6.382784E-02 5.194496E-02 5.192768E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.636374E+00 2.062612E+00 0.000000E+00 0.000000E+00 4.217952E-02 4.213376E-02 4.217952E-02 4.216224E-02 4.217952E-02 5.316608E-02 4.217952E-02 4.216608E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.734184E+00 2.327888E+00 0.000000E+00 0.000000E+00 4.209824E-02 4.205568E-02 4.209824E-02 4.209408E-02 4.209824E-02 5.650816E-02 4.209792E-02 4.208512E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.464200E+00 1.985293E+00 0.000000E+00 0.000000E+00 4.029632E-02 4.025280E-02 4.029632E-02 4.028928E-02 4.029632E-02 5.463552E-02 4.029632E-02 4.028576E-02
18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.620685E+00 1.890740E+00 0.000000E+00 0.000000E+00 4.072480E-02 4.068704E-02 4.072480E-02 4.071488E-02 4.072480E-02 4.750848E-02 4.072480E-02 4.071456E-02
19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.802356E+00 2.418822E+00 0.000000E+00 0.000000E+00 4.216928E-02 4.213344E-02 4.216928E-02 4.216448E-02 4.216928E-02 5.659200E-02 4.216928E-02 4.215552E-02
