Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.628928E+00 2.084897E+00 0.000000E+00 0.000000E+00 6.139424E-02 6.129024E-02 6.139392E-02 6.137696E-02 6.139392E-02 7.857728E-02 6.139424E-02 6.136352E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.845850E+00 2.389940E+00 0.000000E+00 0.000000E+00 4.226016E-02 4.218656E-02 4.226080E-02 4.224672E-02 4.226048E-02 5.471680E-02 4.226080E-02 4.224064E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.808119E+00 2.179323E+00 0.000000E+00 0.000000E+00 4.038016E-02 4.031104E-02 4.037952E-02 4.036512E-02 4.037952E-02 4.866752E-02 4.037984E-02 4.035936E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.790803E+00 2.183085E+00 0.000000E+00 0.000000E+00 4.076800E-02 4.071072E-02 4.076800E-02 4.075808E-02 4.076800E-02 4.969792E-02 4.076800E-02 4.075040E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.667080E+00 2.136616E+00 0.000000E+00 0.000000E+00 4.259040E-02 4.253664E-02 4.259072E-02 4.257600E-02 4.259072E-02 5.458560E-02 4.259072E-02 4.255328E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.605070E+00 2.029635E+00 0.000000E+00 0.000000E+00 4.237216E-02 4.230592E-02 4.237216E-02 4.235744E-02 4.237216E-02 5.357760E-02 4.237216E-02 4.235520E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.351463E+00 3.150628E+00 0.000000E+00 0.000000E+00 4.253120E-02 4.246464E-02 4.253120E-02 4.252384E-02 4.253120E-02 5.698432E-02 4.253120E-02 4.251360E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.610312E+00 2.131085E+00 0.000000E+00 0.000000E+00 4.223200E-02 4.217280E-02 4.223200E-02 4.222208E-02 4.223200E-02 5.588736E-02 4.223200E-02 4.221504E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.341474E+00 1.764992E+00 0.000000E+00 0.000000E+00 4.249312E-02 4.244224E-02 4.249344E-02 4.248384E-02 4.249312E-02 5.590592E-02 4.249280E-02 4.247968E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.968170E+00 2.535359E+00 0.000000E+00 0.000000E+00 2.642656E-02 2.638464E-02 2.642624E-02 2.642176E-02 2.642624E-02 3.404096E-02 2.642592E-02 2.641632E-02
