Frame ICR1 OCR1 ICR2 OCR2 ICR3 OCR3 ICR4 OCR4 Rt1 Lt1 Rt2 Lt2 Rt3 Lt3 Rt4 Lt4
1 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.707697E+00 2.236924E+00 0.000000E+00 0.000000E+00 5.856288E-02 5.845376E-02 5.856256E-02 5.854592E-02 5.856256E-02 7.671104E-02 5.856288E-02 5.853536E-02
2 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.957724E+00 2.499830E+00 0.000000E+00 0.000000E+00 4.240288E-02 4.232544E-02 4.240288E-02 4.239040E-02 4.240288E-02 5.414400E-02 4.240288E-02 4.237984E-02
3 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.787942E+00 2.110564E+00 0.000000E+00 0.000000E+00 4.027360E-02 4.020224E-02 4.027392E-02 4.026208E-02 4.027360E-02 4.753984E-02 4.027232E-02 4.023648E-02
4 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.693366E+00 2.146291E+00 0.000000E+00 0.000000E+00 4.193280E-02 4.185856E-02 4.193280E-02 4.192064E-02 4.193280E-02 5.314688E-02 4.193280E-02 4.191552E-02
5 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.805938E+00 2.462458E+00 0.000000E+00 0.000000E+00 4.264064E-02 4.256928E-02 4.264096E-02 4.263136E-02 4.264032E-02 5.813888E-02 4.264096E-02 4.262016E-02
6 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.955761E+00 2.521054E+00 0.000000E+00 0.000000E+00 4.244288E-02 4.237664E-02 4.244320E-02 4.243040E-02 4.244256E-02 5.470848E-02 4.244288E-02 4.240256E-02
7 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.830828E+00 2.449137E+00 0.000000E+00 0.000000E+00 4.042240E-02 4.037184E-02 4.042144E-02 4.040832E-02 4.042240E-02 5.407296E-02 4.042240E-02 4.040576E-02
8 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.756218E+00 2.301877E+00 0.000000E+00 0.000000E+00 4.213952E-02 4.208544E-02 4.213952E-02 4.213056E-02 4.213952E-02 5.523136E-02 4.213952E-02 4.212288E-02
9 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.791669E+00 2.356925E+00 0.000000E+00 0.000000E+00 4.242816E-02 4.237152E-02 4.242816E-02 4.241600E-02 4.242816E-02 5.581120E-02 4.242816E-02 4.241440E-02
10 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.886437E+00 2.381393E+00 0.000000E+00 0.000000E+00 4.241216E-02 4.234880E-02 4.241216E-02 4.240512E-02 4.241216E-02 5.353792E-02 4.241216E-02 4.237440E-02
11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.733802E+00 2.327358E+00 0.000000E+00 0.000000E+00 4.210752E-02 4.205920E-02 4.210752E-02 4.209792E-02 4.210784E-02 5.652032E-02 4.210752E-02 4.209408E-02
12 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.556510E+00 1.933670E+00 0.000000E+00 0.000000E+00 4.240640E-02 4.235744E-02 4.240640E-02 4.239936E-02 4.240640E-02 5.267968E-02 4.240640E-02 4.239264E-02
13 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 2.015991E+00 2.537488E+00 0.000000E+00 0.000000E+00 4.216768E-02 4.211200E-02 4.216736E-02 4.216032E-02 4.216768E-02 5.307392E-02 4.216768E-02 4.215040E-02
14 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.835039E+00 2.281795E+00 0.000000E+00 0.000000E+00 4.251040E-02 4.246464E-02 4.251040E-02 4.249856E-02 4.251040E-02 5.285696E-02 4.251040E-02 4.247680E-02
15 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.579903E+00 1.992938E+00 0.000000E+00 0.000000E+00 4.114592E-02 4.109280E-02 4.114592E-02 4.113632E-02 4.114528E-02 5.190144E-02 4.114592E-02 4.113184E-02
16 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.585831E+00 2.209924E+00 0.000000E+00 0.000000E+00 4.163072E-02 4.158784E-02 4.163072E-02 4.162144E-02 4.163040E-02 5.801280E-02 4.163040E-02 4.161760E-02
17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 1.305783E+00 1.733078E+00 0.000000E+00 0.000000E+00 4.212192E-02 4.206912E-02 4.212192E-02 4.211712E-02 4.212160E-02 5.590464E-02 4.212128E-02 4.210752E-02
18 7.375734E-02 0.000000E+00 0.000000E+00 0.000000E+00 1.375613E+00 1.793182E+00 0.000000E+00 0.000000E+00 4.070976E-02 0.000000E+00 4.070976E-02 4.070240E-02 4.070976E-02 5.306496E-02 4.070976E-02 4.069504E-02
