n_points,success,message,A,A_err,t_0,t_0_err,tau,tau_err,C,C_err,rss
2,True,ok,1604.5000078518215,inf,281.0,0.0,91580777.32638401,inf,58.0,0.0,18240.503346330148
3,True,ok,1637.666668893014,111.4465513516949,281.0,0.0,620667180.3952332,6720038317261626.0,58.0,0.0,24840.6676957045
4,True,ok,1626.9178698786027,154.14488753112283,281.0,0.0,45.18816895726381,105.93968612033999,58.0,0.0,66638.63019072803
5,True,ok,1718.3745042106866,208.76744492100536,281.0,0.0,11.364910601342949,7.272524728933229,58.0,0.0,195835.52424696658
6,True,ok,1793.1869127864597,236.3296817489974,281.0,0.0,7.4488364399320535,3.0832264443866184,58.0,0.0,346115.66898212483
7,True,ok,1851.6160826252978,251.50762512171977,281.0,0.0,5.974508519632669,1.9433895244768404,58.0,0.0,498070.395057899
8,True,ok,1886.5348702409437,246.15932073403008,281.0,0.0,5.377606716990451,1.4554277002267724,58.0,0.0,581684.3734187167
9,True,ok,1913.888829264126,241.0054253736211,281.0,0.0,5.0063464240161855,1.192224484247314,58.0,0.0,656507.8871649154
10,True,ok,1931.8096299726385,232.23079627629156,281.0,0.0,4.798547855679416,1.0292101869774297,58.0,0.0,702365.1543496512
11,True,ok,1944.1441701526444,222.82753608685277,281.0,0.0,4.670497625674308,0.9191529843764557,58.0,0.0,732380.3667414796
12,True,ok,1953.318100074221,214.12212897830386,281.0,0.0,4.582772373504599,0.840363250869075,58.0,0.0,755093.450442447
